condition,update_rule,seed,centralization,timestep,pairwise_consistency,overall_consistency,prototype_diversity
m1,ambiguous,1,0.22696351267779838,0,0.49559999999999993,0.54,0.2856771864045262
m1,ambiguous,1,0.22696351267779838,20,0.5058,0.54,0.24445693036043317
m1,ambiguous,1,0.22696351267779838,40,0.5068,0.5632,0.22169250893085626
m1,ambiguous,1,0.22696351267779838,60,0.5074000000000001,0.5724000000000001,0.20161852714093897
m1,ambiguous,1,0.22696351267779838,80,0.5134000000000001,0.5804,0.18216401462099197
m1,ambiguous,1,0.22696351267779838,100,0.5206000000000001,0.5990000000000001,0.16787724050837388
m1,ambiguous,1,0.22696351267779838,120,0.5202,0.6096,0.15573583142242686
m1,ambiguous,1,0.22696351267779838,140,0.5364,0.6305999999999999,0.14389871212891847
m1,ambiguous,1,0.22696351267779838,160,0.547,0.6480000000000001,0.13221476594880363
m1,ambiguous,1,0.22696351267779838,180,0.5732,0.6636000000000002,0.12361196265833978
m1,ambiguous,1,0.22696351267779838,200,0.5594,0.6688000000000001,0.11796432665516957
m1,ambiguous,2,0.15481344052772625,0,0.504,0.5399999999999999,0.2888297287934778
m1,ambiguous,2,0.15481344052772625,20,0.4946,0.534,0.25120761343318143
m1,ambiguous,2,0.15481344052772625,40,0.4898,0.5426000000000001,0.2257459530236704
m1,ambiguous,2,0.15481344052772625,60,0.4978000000000001,0.5556,0.2060376261059643
m1,ambiguous,2,0.15481344052772625,80,0.5008,0.5695999999999999,0.18713940188913528
m1,ambiguous,2,0.15481344052772625,100,0.5046,0.577,0.1709988709894486
m1,ambiguous,2,0.15481344052772625,120,0.5132,0.6065999999999999,0.15924303093904005
m1,ambiguous,2,0.15481344052772625,140,0.5372,0.6376000000000001,0.14985051142324307
m1,ambiguous,2,0.15481344052772625,160,0.5366,0.6481999999999999,0.13881782924571956
m1,ambiguous,2,0.15481344052772625,180,0.5786000000000001,0.6744,0.13006448028543943
m1,ambiguous,2,0.15481344052772625,200,0.5788,0.6872,0.12220060211211464
m2,unconditional,0,0.19666048237476808,0,0.496,0.5334,0.29456274092017587
m2,unconditional,0,0.19666048237476808,20,0.5026,0.5578,0.17205896962927208
m2,unconditional,0,0.19666048237476808,40,0.5316,0.6322,0.13562229424712496
m2,unconditional,0,0.19666048237476808,60,0.595,0.7086000000000001,0.11936168150472273
m2,unconditional,0,0.19666048237476808,80,0.7216000000000001,0.8147999999999999,0.10397490709556681
m2,unconditional,0,0.19666048237476808,100,0.8078,0.8763999999999998,0.09212840156723215
m2,unconditional,0,0.19666048237476808,120,0.8796,0.9176000000000001,0.07713437010706876
m2,unconditional,0,0.19666048237476808,140,0.9092,0.9358,0.06703129730480063
m2,unconditional,0,0.19666048237476808,160,0.9339999999999999,0.9491999999999998,0.05935125225511541
m2,unconditional,0,0.19666048237476808,180,0.9444,0.9617999999999999,0.053101955975605755
m2,unconditional,0,0.19666048237476808,200,0.9324000000000001,0.9619999999999999,0.05632045200859818
m2,unconditional,1,0.21727478870336014,0,0.49559999999999993,0.54,0.2856771864045262
m2,unconditional,1,0.21727478870336014,20,0.5333999999999999,0.612,0.17016703244538633
m2,unconditional,1,0.21727478870336014,40,0.6292,0.7248,0.13020921354439058
m2,unconditional,1,0.21727478870336014,60,0.6787999999999998,0.775,0.10986647022131142
m2,unconditional,1,0.21727478870336014,80,0.7415999999999999,0.8178,0.09517785000730782
m2,unconditional,1,0.21727478870336014,100,0.789,0.8567999999999998,0.08465314093950746
m2,unconditional,1,0.21727478870336014,120,0.834,0.8846,0.07606506234740568
m2,unconditional,1,0.21727478870336014,140,0.8743999999999998,0.9186,0.066567871106104
m2,unconditional,1,0.21727478870336014,160,0.9063999999999999,0.9414,0.05676279685080911
m2,unconditional,1,0.21727478870336014,180,0.8947999999999999,0.9318000000000001,0.058569744639733794
m2,unconditional,1,0.21727478870336014,200,0.9116,0.936,0.0555125167444296
m2,unconditional,2,0.21727478870336014,0,0.504,0.5399999999999999,0.2888297287934778
m2,unconditional,2,0.21727478870336014,20,0.5424,0.6436,0.160058975545427
m2,unconditional,2,0.21727478870336014,40,0.693,0.7954000000000001,0.11577235049440548
m2,unconditional,2,0.21727478870336014,60,0.8078,0.8704000000000001,0.09419698734523496
m2,unconditional,2,0.21727478870336014,80,0.8642,0.9094,0.08176870670595159
